"","X.3","X.2","X.1","X","org","start","movein","address","status","area","type","residences","women","men","ownership","members","residents","visitprocess","newMember","decisions","leader","leadergroup","fees","income_sharing","labor_req","member_debt","food_current","food_planned","food_local","meals_shared","meals_restrictions","meals_practices","alcohol","tobacco","religion","education","healthcare","source","lon","lat","geoAddress","no_meal_restrictions","vegan","vegetarian","organic","omnivorous","no_gmo","no_restrictions","raw","paleo","opportunivore","kosher"
"11",11,11,11,11,"Abbey of the Genesee",1951,"1951","Abbey of the Genesee 3258 River Rd Piffard, New York, 14533 United States ","Established","2400 acres","Commune ",32,"0%","100%","The Community",30,"No Info","Visitor Process: The reception room is open from 2:10 a.m. until 7:00 p.m. Visitors are welcome anytime. They may visit the Abbey Church, our bookstore, and our Monks’ Bread outlet. Arrangements for group visits for a presentation on monastic life can be made by calling the Abbey at 585-243-0660.
","Yes","Decision Making: Voting (majority or super-majority rule)","Identified Leader: Yes","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: All or close to all","Required Labor Contribution per Week: 0","Open to members with existing debt: Yes","Up to 25%","No Info","No Info","Approximately all meals","No Info","Vegetarian Only, Vegetarian ","Alcohol Use: Yes, used occasionally.","Tobacco Use: No, this community does not permit tobacco use.","Common Spiritual Practice(s): Roman Catholic","No Info","No Info","https://www.ic.org/directory/abbey-of-the-genesee/",-77.864241,42.843985,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"12",12,12,12,12,"Abode of the Message",1975,"1975","Abode of the Message 5 Abode Road New Lebanon, New York, 12125 United States ","Established","300 acres","Spiritual or Religious Community",26,"51-60%","41-49%","Multiple stakeholders",20,"Non-member Residents: 10","Visitor Process: Contact: 518.794.8095 or see website for info; call for information and reservations.
Long-term visitors or residency requires application, which can be found at theabode.org
","Yes","Decision Making: By a board, council, group of elders, or leadership group","Identified Leader: Yes","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 3","Open to members with existing debt: Yes","Up to 25%","Up to 25%","From 50-75%","Approximately all dinners","Somewhat – there are some dietary restrictions or customs.","Omnivorous, Local, Organic, GMO Free, Vegetarian Only, Mostly Vegetarian, Vegan Only, Mostly Vegan, Dairy-Free, Gluten-Free","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Sufi","Education Style(s): Private School off the property, Public Schooling, Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/abode-of-the-message/",-73.3789173,42.4432599,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"13",13,13,13,13,"Abundant Dawn Community",1994,"1995","439 Valley Ln Floyd, Virginia, 24091 United States ","Established","90 acres","Cohousing ",58,"51-60%","31-40%","The Community",16,"No Info","Visitor Process: Please email us with some information about yourself and your interest in living in community. We’ll respond with some information about our visitor program. We currently use email rather than a phone contact. Phoning is not recommended as an initial point of contact, unless you do not have access to email.
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 0","Open to members with existing debt: Yes","Up to 25%","No Info","No Info","About once a week","No Info","No Info","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","No Info","No Info","No Info","https://www.ic.org/directory/abundant-dawn-community/",-80.357271,36.925948,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"14",14,14,14,14,"Acequia Jardin",2011,"2013","2330 Rio Grande Blvd Albuquerque, New Mexico, 87104 United States ","Established","1.1 acres","Cohousing ",4,"71-80%","21-30%","Individual lots and commons",14,"Non-member Residents: 2","Visitor Process: Call or email the two contact persons
","Waiting List","Decision Making: Sociocracy","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 0","No Info","Up to 25%","Up to 25%","Up to 25%","1-3 times per month","No – people may eat however they wish.","Omnivorous, Local, Organic, Mostly Vegetarian, Gluten-Free","Alcohol Use: Yes, used occasionally.","Tobacco Use: No, this community does not permit tobacco use.","Common Spiritual Practice(s): Eclectic (integrates multiple religious or spiritual beliefs), Not a particularly spiritual or religious community","No Info","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/acequia-jardin/",-106.6747318,35.1157415,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"15",15,15,15,15,"Acorn Community Farm",1993,"1993","Visitor Committee PO Box 460 Mineral, Virginia, 23117 United States ","Established","72 acres","Commune ",42,"51-60%","41-49%","The entire community membership",29,"Non-member Residents: 6","Visitor Process: All visitors must be approved in advance. Please see our website for the information we need from you to consider your request for a visit or internship. We prefer email, though if your internet access is limited we could also gather this information by mail.
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: Yes","Shared Income: All or close to all","Required Labor Contribution per Week: 42","Open to members with existing debt: Yes","Up to 25%","From 50-75%","Between 26-49%","Approximately all meals","No – people may eat however they wish.","Omnivorous, Paleo, Local, Organic, GMO Free, Mostly Vegetarian, Mostly Vegan, Opportunivore, Kosher, Halal, Dairy-Free, Gluten-Free","Alcohol Use: Yes, used often.","Tobacco Use: Yes, used often.","No Info","Education Style(s): Home Schooling, Public Schooling, Up to each family or individual","Healthcare Options: Community Plan, Up to each family or individual","https://www.ic.org/directory/acorn-community-farm/",-77.9086068,38.010695,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"16",16,16,16,16,"Active Community",2015,"2015","Neukölln Berlin,  Germany ","Established","No Info","Commune ",0,"No Info","No Info","No Info",7,"No Info","No Info","Yes","Decision Making: Modified Consensus (everyone agrees, with some exceptions or fallbacks.)","Identified Leader: Yes","No Info","Dues, Fees, or Shared Expenses: Yes","Shared Income: Partial share of income","No Info","No Info","No Info","No Info","No Info","No Info","No Info","No Info","No Info","No Info","No Info","No Info","No Info","https://www.ic.org/directory/active-community/",13.4445071,52.4407709,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"17",17,17,17,17,"Adawehi",1997,"1998","PO Box 1549 93 Adawehi Lane Columbus, North Carolina, 28722 United States ","Established","125 acres","Cohousing, Shared Housing, Cohouseholding, or Coliving ",16,"71-80%","21-30%","Other",45,"No Info","Visitor Process: Call 828-894-0124 ext. 1 or send an email to [email protected] and we will be glad to welcome you with a guided tour.
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: Yes","Leadership Core Group: No","Dues, Fees, or Shared Expenses: No","Shared Income: None","Required Labor Contribution per Week: 10","Open to members with existing debt: No","No Info","No Info","No Info","1-3 times per month","Somewhat – there are some dietary restrictions or customs.","Organic ","Alcohol Use: No, this community does not permit alcohol use.","Tobacco Use: No, this community does not permit tobacco use.","Common Spiritual Practice(s): non-demoniminational spirituality","Education Style(s): Public Schooling","No Info","https://www.ic.org/directory/adawehi/",-82.1642169,35.2606139,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18",18,18,18,18,"Adelphi",1976,"1991","PO Box 2423 Quinlan, Texas, 75474 United States ","Established","No Info","Spiritual or Religious Community",8,"No Info","No Info","No Info",11,"No Info","Visitor Process: Write, call or email in at least a week in advance, so that we will have a member available to give you a tour of the community.
","Yes","Decision Making: Voting (majority or super-majority rule)","Identified Leader: No","No Info","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 0","Open to members with existing debt: No","No Info","No Info","No Info","About once a week","No – people may eat however they wish.","Omnivorous, Organic, GMO Free ","Alcohol Use: Yes, used occasionally.","Tobacco Use: No, this community does not permit tobacco use.","No Info","Education Style(s): Up to each family or individual","No Info","https://www.ic.org/directory/adelphi/",-96.1282039,32.9144161,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"19",19,19,19,19,"Adesa Community",2005,"2019","553 Garfield Ave Carbondale, Colorado, 81623 United States ","Re-forming","20 acres","Ecovillage, Cohousing, Shared Housing, Cohouseholding, or Coliving ",1,"No Info","No Info","Individual community member(s)",25,"No Info","Visitor Process: Realize we are pre-purchase/forming
Visit the web-site :www.adesacommunity.com
Call 970-319-6322
","Yes","Decision Making: Sociocracy","Identified Leader: Yes, multiple identified leaders","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","No Info","Open to members with existing debt: Yes (some debt)","0%, or close to 0%","Almost All, around 90%","0%, or close to 0%","1-3 times per month","No – people may eat however they wish.","Omnivorous, Local, Organic, GMO Free, Dairy-Free, Gluten-Free","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Eclectic (integrates multiple religious or spiritual beliefs), Buddhist, Jewish, Hindu, Wiccan, Quaker, Sufi, Native American, Unitarian Universalist, Paganism or Earth Religions, Mixed Eastern Philosophy or Practice, Ananda Community, Bahai, Atheist, Agnostic, Humanist, Eastern","Education Style(s): Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/adesa-community-2/",-107.212017,39.3994071,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"20",20,20,20,20,"Agape Community",1982,"1982","2062 Greenwich Rd Ware, Massachusetts, 01082-9309 United States ","Established","34 acres","Spiritual or Religious Community",18,"No Info","No Info","Individual community member(s)",4,"No Info","Visitor Process: People wishing to visit may call, email or write. Contact information is on our website: www.agapecommunity.org. We will arrange a mutually compatible time for a visit.
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: Yes","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: None","Required Labor Contribution per Week: 0","No Info","From 50-75%","No Info","No Info","Approximately all meals","Somewhat – there are some dietary restrictions or customs.","Vegetarian Only ","Alcohol Use: Yes, used occasionally.","No Info","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Roman Catholic","No Info","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/agape-community/",-72.244824,42.3064062,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"21",21,21,21,21,"Ahimsa",2005,"2006","4022 S. Eagle Valley Rd Julian, Pennsylvania, 16844 United States ","Re-forming","65 acres","Unspecified, or Other",18,"50%","50%","Independent land trust (not controlled by the community)",4,"Non-member Residents: 2","Visitor Process: Please call, email, or write to arrange a visit. We generally ask for at least one-week advance notice. We have a guest yurt for visitors – $15/night donation requested. Thanks!
","Waiting List","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 0","Open to members with existing debt: Yes","Between 26-49%","From 50-75%","From 50-75%","Approximately all meals","Yes – we all share a common diet.","Vegan Only ","Alcohol Use: Yes, used occasionally.","Tobacco Use: No, this community does not permit tobacco use.","Common Spiritual Practice(s): Buddhist, Diamond Approach","Education Style(s): Home Schooling, Public Schooling","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/ahimsa/",-77.9189299,40.8808007,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"22",22,22,22,22,"Ahimsa Cohousing",2016,"2018","TBD Boulder, Colorado,  United States ","Forming","No Info","Ecovillage, Cohousing, Spiritual or Religious Community",0,"100%","0%","The entire community membership",2,"Non-member Residents: 0","No Info","Yes","Decision Making: Modified Consensus (everyone agrees, with some exceptions or fallbacks.)","Identified Leader: No","No Info","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 0","No Info","No Info","No Info","No Info","2-5 times per week","No – people may eat however they wish.","Omnivorous, Local, Organic, GMO Free, Mostly Vegetarian, Mostly Vegan, Raw or Mostly Raw, Dairy-Free, Gluten-Free","Alcohol Use: No, this community does not permit alcohol use.","Tobacco Use: No, this community does not permit tobacco use.","Common Spiritual Practice(s): Yogic Spiritual Teachings","Education Style(s): Home Schooling, Private Schooling at the Community, Private School off the property","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/ahimsa-cohousing/",-105.2705456,40.0149856,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"23",23,23,23,23,"Ahupuaa Village",1996,"1996","PO Box 978 Kapaa, Hawaii, 96746 United States ","Established","3 acres","Ecovillage ",51,"31-40%","51-60%","A subgroup of community members",24,"Non-member Residents: 5","Visitor Process: Please email, write, or call. We have rustic accommodations for visitors when available.
","Yes","Decision Making: By a board, council, group of elders, or leadership group","Identified Leader: Yes, multiple identified leaders","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: Partial share of income","Required Labor Contribution per Week: 0","No Info","Up to 25%","No Info","No Info","1-3 times per month","No Info","Mostly Vegetarian","Alcohol Use: Yes, used seldomly, or ceremoniously.","No Info","Common Spiritual Practice(s): Eclectic (integrates multiple religious or spiritual beliefs)","No Info","No Info","https://www.ic.org/directory/ahupuaa-village/",-159.321054,22.06915,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"24",24,24,24,24,"Aldea 506 Ecovillage",2011,"2018","San Alejo San Carlos,  Costa Rica ","Forming","120 acres","Ecovillage, Cohousing, Unspecified, or Other",18,"No Info","No Info","A subgroup of community members",4,"No Info","Visitor Process: If interested on visit the under development project, please contact with us to make proper arrangements.
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: Yes","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: Partial share of income","No Info","No Info","Up to 25%","No Info","No Info","Approximately all meals","No Info","Omnivorous ","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used occasionally.","No Info","Education Style(s): Public Schooling","No Info","https://www.ic.org/directory/aldea-506-ecovillage/",-84.3542049,10.6590277,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
